episode,train_return,steps,epsilon,q_rows,eval_winrate,eval_return
1,-102.5618,14,0.996681,13,,
2,107.5778,13,0.993609,23,,
3,-103.8488,14,0.990312,33,,
4,102.5816,19,0.985856,47,,
5,104.0289,17,0.981887,49,,
6,-103.1937,14,0.978631,56,,
7,101.5622,20,0.974000,67,,
8,-102.1790,22,0.968932,78,,
9,104.3210,19,0.964577,91,,
10,103.2041,17,0.960699,95,,
11,105.7508,12,0.957971,98,,
12,106.4123,16,0.954346,100,,
13,102.8563,18,0.950286,108,,
14,100.7980,17,0.946467,110,,
15,108.1631,18,0.942442,116,,
16,103.9207,20,0.937991,122,,
17,-104.3174,15,0.934668,127,,
18,-104.3341,20,0.930255,130,,
19,104.8942,20,0.925865,132,,
20,-104.2081,16,0.922369,135,,
21,104.1105,18,0.918452,139,,
22,-104.4519,18,0.914552,141,,
23,-105.4136,13,0.911747,142,,
24,104.3321,20,0.907449,149,,
25,-101.9459,15,0.904240,150,,
26,107.8891,8,0.902533,150,,
27,100.5356,21,0.898069,151,,
28,101.8289,16,0.894683,157,,
29,106.2587,18,0.890891,164,,
30,101.9825,17,0.887325,166,,
31,104.7168,23,0.882524,171,,
32,-100.9590,29,0.876510,178,,
33,103.8908,18,0.872799,181,,
34,110.7268,9,0.870950,183,,
35,102.4063,17,0.867468,184,,
36,109.2994,15,0.864408,185,,
37,-104.3544,13,0.861766,186,,
38,108.5041,9,0.859941,188,,
39,-100.9757,19,0.856103,190,,
40,104.1040,19,0.852283,191,,
41,101.3262,22,0.847883,195,,
42,101.9447,22,0.843507,195,,
43,103.0481,18,0.839944,195,,
44,-102.5832,14,0.837184,195,,
45,107.3453,14,0.834434,195,,
46,108.7031,9,0.832671,195,,
47,-103.8203,10,0.830716,197,,
48,100.4591,23,0.826240,201,,
49,107.7010,22,0.821983,205,,
50,104.8206,25,0.817173,214,1.0000,106.8972
51,107.6810,13,0.814683,214,,
52,108.3749,17,0.811440,216,,
53,104.2115,23,0.807075,217,,
54,104.9297,24,0.802546,221,,
55,106.5662,16,0.799542,223,,
56,106.1942,12,0.797296,223,,
57,108.5672,16,0.794313,225,,
58,106.5901,17,0.791157,225,,
59,-102.8889,14,0.788567,228,,
60,104.5559,12,0.786355,228,,
61,-103.6111,14,0.783782,230,,
62,106.4810,21,0.779940,233,,
63,106.5948,16,0.777026,233,,
64,105.5746,16,0.774124,235,,
65,103.1207,20,0.770512,236,,
66,107.9939,14,0.767995,237,,
67,109.5510,10,0.766202,237,,
68,110.7961,12,0.764056,239,,
69,107.4016,19,0.760673,239,,
70,104.7981,15,0.758013,241,,
71,107.9531,11,0.756068,241,,
72,-105.5915,17,0.753074,244,,
73,-102.3474,16,0.750267,245,,
74,101.2122,20,0.746775,246,,
75,-104.6694,19,0.743473,247,,
76,102.7751,12,0.741395,249,,
77,100.7671,23,0.737431,251,,
78,104.9574,16,0.734687,253,,
79,-105.1028,19,0.731443,253,,
80,102.4120,17,0.728553,253,,
81,106.3635,12,0.726520,253,,
82,104.1833,13,0.724325,253,,
83,109.7822,13,0.722137,253,,
84,-105.2088,10,0.720459,253,,
85,108.2092,21,0.716948,256,,
86,110.9381,9,0.715449,256,,
87,110.7077,13,0.713290,256,,
88,103.4959,20,0.709982,257,,
89,111.8346,12,0.708005,257,,
90,105.7147,12,0.706034,257,,
91,109.2177,17,0.703251,262,,
92,110.1881,12,0.701295,263,,
93,109.3489,10,0.699668,263,,
94,101.1064,17,0.696913,264,,
95,110.1859,9,0.695459,264,,
96,-102.4526,15,0.693043,264,,
97,106.8193,13,0.690957,264,,
98,101.8085,17,0.688238,264,,
99,106.5188,10,0.686645,264,,
100,-102.3017,15,0.684262,267,1.0000,110.1256
101,103.0503,18,0.681414,267,,
102,101.7528,17,0.678736,268,,
103,103.8058,17,0.676070,269,,
104,106.7604,12,0.674194,269,,
105,105.3107,17,0.671547,269,,
106,100.9617,13,0.669531,271,,
107,-102.9792,22,0.666132,271,,
108,109.3532,12,0.664287,271,,
109,-104.9213,13,0.662294,271,,
110,105.3147,11,0.660612,271,,
111,-102.8502,14,0.658479,271,,
112,109.3271,10,0.656959,271,,
113,101.3550,17,0.654385,272,,
114,106.7171,14,0.652274,272,,
115,104.8486,14,0.650169,272,,
116,108.3207,16,0.647774,272,,
117,109.1042,13,0.645834,272,,
118,107.6397,16,0.643455,272,,
119,110.5322,10,0.641974,272,,
120,108.3528,11,0.640348,272,,
121,108.3956,10,0.638874,272,,
122,104.1756,17,0.636376,272,,
123,104.7644,15,0.634182,272,,
124,107.7294,11,0.632577,272,,
125,109.4838,13,0.630687,272,,
126,-106.7378,18,0.628080,272,,
127,107.8838,9,0.626781,272,,
128,106.0770,16,0.624478,272,,
129,103.1154,20,0.621613,273,,
130,-105.3615,13,0.619758,273,,
131,-106.9823,17,0.617342,273,,
132,104.3891,13,0.615501,273,,
133,105.5480,18,0.612962,274,,
134,109.1418,23,0.609734,274,,
135,101.4822,16,0.607500,274,,
136,109.4271,17,0.605135,274,,
137,103.9574,12,0.603472,274,,
138,-106.0207,17,0.601125,274,,
139,107.6853,15,0.599062,275,,
140,107.8684,12,0.597418,277,,
141,-100.6065,20,0.594687,279,,
142,106.6115,14,0.592784,280,,
143,106.5975,13,0.591023,280,,
144,112.1584,12,0.589402,280,,
145,105.7958,14,0.587518,280,,
146,110.0736,13,0.585774,280,,
147,110.2009,12,0.584169,280,,
148,112.0976,11,0.582702,280,,
149,-104.8148,13,0.580973,280,,
150,109.4607,17,0.578722,282,1.0000,109.8262
151,-103.7452,14,0.576874,283,,
152,107.8070,14,0.575033,284,,
153,108.7305,12,0.573461,284,,
154,107.7366,17,0.571241,284,,
155,113.4699,26,0.567864,285,,
156,99.7834,24,0.564766,285,,
157,105.2919,14,0.562967,285,,
