episode,train_return,steps,epsilon,q_rows,eval_winrate
50,-104.89,16,0.8197,216,1.0
100,105.42,12,0.6819,260,1.0
150,-102.18,27,0.5712,291,1.0
200,108.3,12,0.4871,300,1.0
250,106.52,15,0.4197,308,1.0
300,109.55,16,0.3636,310,1.0
350,109.42,10,0.3185,312,1.0
400,107.41,12,0.2824,313,1.0
450,109.49,8,0.2531,317,1.0
500,109.68,8,0.2267,317,1.0
550,111.23,10,0.2036,317,1.0
600,112.03,11,0.1837,317,1.0
650,111.25,9,0.1671,317,1.0
700,110.76,12,0.1521,318,1.0
750,110.74,11,0.1396,319,1.0
800,108.7,10,0.1277,325,1.0
850,111.06,9,0.118,325,1.0
900,109.43,8,0.1103,325,1.0
950,109.41,14,0.1032,326,1.0
1000,110.86,9,0.0969,326,1.0
