episode,train_return,steps,epsilon,q_rows,eval_winrate,eval_return
1,102.0290,13,0.996918,12,,
2,101.5096,18,0.992666,26,,
3,-102.8938,15,0.989138,40,,
4,105.7295,11,0.986558,47,,
5,-103.3524,16,0.982820,55,,
6,-104.5188,15,0.979328,62,,
7,-101.7844,16,0.975618,66,,
8,-101.8313,15,0.972154,67,,
9,101.9232,21,0.967325,72,,
10,-101.3260,16,0.963663,78,,
11,-103.3971,17,0.959788,80,,
12,102.8145,16,0.956156,83,,
13,106.1071,14,0.952990,92,,
14,-101.4323,22,0.948038,102,,
15,-104.5994,20,0.943559,109,,
16,102.0070,17,0.939769,110,,
17,-101.2319,16,0.936217,111,,
18,-102.5901,16,0.932679,112,,
19,109.2040,18,0.928716,119,,
20,-104.9564,15,0.925427,119,,
21,-103.0840,23,0.920408,122,,
22,-102.9535,16,0.916933,123,,
23,-104.9174,15,0.913688,124,,
24,105.8644,13,0.910886,128,,
25,104.2030,18,0.907021,133,,
26,-104.4952,14,0.904026,133,,
27,106.1071,19,0.899979,139,,
28,101.2124,20,0.895740,139,,
29,106.7475,19,0.891732,142,,
30,-101.6194,24,0.886697,145,,
31,-104.2802,18,0.882940,146,,
32,106.0721,11,0.880653,149,,
33,-102.5815,16,0.877337,149,,
34,-102.2012,15,0.874240,151,,
35,-100.2526,18,0.870539,155,,
36,-103.2275,17,0.867060,155,,
37,106.8461,17,0.863594,157,,
38,-102.7329,20,0.859537,164,,
39,-101.2508,15,0.856507,164,,
40,106.2670,14,0.853689,167,,
41,-106.8374,20,0.849680,167,,
42,-101.2434,14,0.846886,167,,
43,105.1555,15,0.843904,169,,
44,109.7519,19,0.840141,174,,
45,-101.2940,17,0.836790,174,,
46,-101.8128,17,0.833454,174,,
47,104.6363,11,0.831302,175,,
48,-104.4786,17,0.827989,175,,
49,-102.4781,18,0.824496,175,,
